Vin_A,Vin_B,Vin_C,temp,pvdd,cqload,lmin,wmin,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp_par,xj_n,xj_p,ndep_n,ndep_p,delay_LH_NodeA,delay_HL_NodeA,delay_LH_NodeB,delay_HL_NodeB,delay_LH_NodeC,delay_HL_NodeC
0.0,0.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
0.0,0.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
0.0,1.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
0.0,1.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
1.0,0.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
1.0,0.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
1.0,1.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
1.0,1.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460923e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983945e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.11129e-10,1.51862e-10,1.0904e-10,1.25013e-10,9.6654e-11,1.06688e-10
0.0,0.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
0.0,0.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
0.0,1.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
0.0,1.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
1.0,0.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
1.0,0.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
1.0,1.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
1.0,1.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490972e-10,8.584990813381482e-10,8.856607798787852e-10,8.795691933308947e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825786e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.96543e-10,2.60008e-10,1.87778e-10,2.20697e-10,1.66437e-10,1.87945e-10
0.0,0.0,0.0,53.49740769289589,1.0470388044245191,1.7860784805677612e-15,4.411615652023477e-08,4.225495717435829e-08,8.655759404276668e-10,8.525118480799474e-10,8.856103255797615e-10,9.086317439012396e-10,9.212195131939859e-10,9.035850482876596e-10,6.857175868891438e-10,1.4093006758551685e-08,1.5095101947579063e-08,6.20794949176369e+18,2.7719268381955707e+18,1.63243e-10,1.99512e-10,1.56236e-10,1.83511e-10,1.35216e-10,1.57328e-10
