Vin_A,Vin_B,Vin_C,temp,pvdd,cqload,lmin,wmin,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp_par,xj_n,xj_p,ndep_n,ndep_p,leakage
0.0,0.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,8.298949e-09
0.0,0.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,6.36556e-09
0.0,1.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,6.817538e-09
0.0,1.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,4.754537e-09
1.0,0.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.398953e-08
1.0,0.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.206858e-08
1.0,1.0,0.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,1.969846e-08
1.0,1.0,1.0,43.78643070691845,1.035563307359246,1.4395668780930593e-15,4.0833961281858847e-08,4.4381592368093184e-08,9.337990776631952e-10,8.782320786460922e-10,8.447079134953006e-10,9.179368813263619e-10,9.40564160476201e-10,8.696157309983944e-10,6.511953793535717e-10,1.3781196712282162e-08,1.4402975840577946e-08,5.987762339619411e+18,2.674148111809429e+18,2.370353e-08
0.0,0.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,3.102314e-09
0.0,0.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,2.470205e-09
0.0,1.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,2.689163e-09
0.0,1.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.963175e-09
1.0,0.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,9.360373e-09
1.0,0.0,1.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,8.764976e-09
1.0,1.0,0.0,73.73408594703551,0.954001594638433,1.4330228913815357e-15,4.67276009621712e-08,4.43948112248688e-08,8.676020547490971e-10,8.584990813381481e-10,8.856607798787851e-10,8.795691933308946e-10,8.983031586096757e-10,9.075471315813651e-10,6.564778448825785e-10,1.2972660733433073e-08,1.3624448254368994e-08,6.504405739369469e+18,2.918065110786584e+18,1.566471e-08
